Site Name,Site Type,Majority Waste Type,Licensed Tonnage,Tonnage Received 2016,Average Tonnage Received (2013-16),Difference,License Number,Operator,Facilities on site (if known)
Mogden Sewage Treatment Works,Other,HIC,250000,99979.33,48691.82,-51287.51,100679,Thames Water Utilities Ltd,Only one waste type managed (90%)
Goldstar Commercials,Metals and vehicle recycling,Haz,75000,60.05,122.46,62.41,100789,Metal Recovery Solutions Limited,Only one waste type managed (90%)
Thames Wharf,"Transfer and treatment (construction, demolition and excavation)",Inert,75000,68256,82501.5,14245.5,100813,Keltbray Environmental Ltd,Only one waste type managed (90%)
"Mc Governs Yard, Claremont Way","Transfer and treatment (construction, demolition and excavation)",HIC,150000,42234,37078.5,-5155.5,100814,Mc Govern Haulage Ltd,Multiple waste types managed
The Willows Materials Recycling Facility,"Transfer and treatment (construction, demolition and excavation)",Inert,499999,58790,60495.5,1705.5,100829,Cappagh Public Works Ltd,Only one waste type managed (90%)
Spring Farm Landfill,Disposal (inert),Inert,300000,49877,165490,115613,101016,Ingrebourne Valley Ltd,Only one waste type managed (90%)
The Market Compound,"Transfer and treatment (construction, demolition and excavation)",Inert,25000,0,645,645,101097,Budd Skips Ltd,Multiple waste types managed
Wastecare - Barking,Waste transfer (household and commercial),Haz,25000,4612.2,5858.54,1246.34,101134,Wastecare Limited,Multiple waste types managed
Rainham Clinical Treatment Centre,Other,Haz,74999,0,2023.11,2023.11,101162,G W Butler Ltd,Multiple waste types managed
Mitcham Waste Treatment Centre,Organic treatment,HIC,99999,21233.16,39712.54,18479.38,101177,Riverside Bio Limited,Only one waste type managed (90%)
Mohawk Wharf Recycling Facility,"Transfer and treatment (construction, demolition and excavation)",Inert,75000,0,52640.5,52640.5,101242,Keltbray A W S Limited,Multiple waste types managed
Smugglers Way Transfer Station/ M R F,Materials recycling and sorting,HIC,84000,66236.61,71282.94,5046.33,101352,Cory Environmental Ltd,Only one waste type managed (90%)
T J Autos ( U K) Ltd,Metals and vehicle recycling,Haz,74999,10.5,41.44,30.94,101430,T J Autos ( U K) Ltd,Only one waste type managed (90%)
"Unit 2, Hannah Close",Waste transfer (household and commercial),HIC,74999,0,5222.5,5222.5,101440,P J Carey ( Contractors ) Ltd,Multiple waste types managed
Scrapco Metal Recycling Ltd,Metals and vehicle recycling,Inert,74999,26845.9,30668.2,3822.3,101450,Scrapco Metal Recycling Ltd,Multiple waste types managed
Kwik Body Works Ltd,Metals and vehicle recycling,Haz,74999,27,26,-1,101486,Kwik Body Works Ltd,Only one waste type managed (90%)
Manns Waste Management Ltd,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,42290,47722.6,5432.6,101645,Manns Waste Management Ltd,Multiple waste types managed
Barking Riverside Development Park,"Transfer and treatment (construction, demolition and excavation)",Inert,249999,44254,43130,-1124,101679,Muckit Recycling Limited,Only one waste type managed (90%)
B & P Scrap Co Ltd,Other,Haz,74999,0,4286.46,4286.46,101699,B & P Scrap Co Ltd,Multiple waste types managed
Barking Materials Recycling Facility,Materials recycling and sorting,HIC,74999,47406.45,46485.68,-920.77,101756,Suez Recycling And Recovery U K Ltd,Only one waste type managed (90%)
"Unit 2, Hannah Close",Waste transfer (household and commercial),HIC,74999,0,2916,2916,101876,T E Scudder Ltd,Multiple waste types managed
Victoria Deep Water Terminal,"Transfer and treatment (construction, demolition and excavation)",Inert,800000,654538.07,661741.48,7203.41,101878,H Sivyer ( Transport) Limited,Only one waste type managed (90%)
Ingrebourne Links,Other - inert,Inert,600000,105188,894346.25,789158.25,101917,Ingrebourne Valley Ltd,Only one waste type managed (90%)
Downes Barns Farm Golf Course,Other - inert,Inert,816000,76300,137622.5,61322.5,102036,Powerbuild Limited,Only one waste type managed (90%)
West Norwood Car Breakers,Metals and vehicle recycling,Haz,74999,138,91,-47,102052,Kiernan Bill,Only one waste type managed (90%)
Sydenham Scrap Metals Ltd,Metals and vehicle recycling,Haz,74999,985,288.25,-696.75,102103,Sydenham Scrap Metals Ltd,Only one waste type managed (90%)
Seneca Environmental Solutions Ltd,Other,HIC,400000,0,81520.21,81520.21,102114,Seneca Environmental Solutions Ltd,Multiple waste types managed
Maguire Skips,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,29717.79,26808.62,-2909.17,102215,Maguire Skips Ltd,Only one waste type managed (90%)
Sydenham Road,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,19937.93,24493.81,4555.88,102495,H Sivyer ( Transport ) Ltd,Only one waste type managed (90%)
Scratchwood Quarry,"Transfer and treatment (construction, demolition and excavation)",Inert,249000,131504.76,101034.38,-30470.38,102529,Quality Recycling Solutions Ltd,Only one waste type managed (90%)
G & S Tyre Services Ltd,Waste transfer (household and commercial),HIC,74999,528.54,420.73,-107.81,102554,G & S Tyre Services Ltd,Only one waste type managed (90%)
Mobile Plant,Other,Inert,9999999,0,392993.25,392993.25,102584,"Dredging, Environment And Marine Engineering ( D E M E) N V",Multiple waste types managed
Tipmaster Ltd,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,3621.98,1763.73,-1858.25,102591,Tipmaster Limited,Only one waste type managed (90%)
Bilton Road M R F,Materials recycling and sorting,HIC,49500,0,4.35,4.35,102678,Viridor Waste Management Ltd,Multiple waste types managed
Cherry Lodge Golf Club,Other - inert,Inert,356550,0,89087,89087,102721,Woodland Environmental Ltd,Multiple waste types managed
Mr Andrew Davis,Other,Inert,99999,0,6938.3,6938.3,102801,Davis Andrew,Multiple waste types managed
D S Smith Recycling U K Ltd,Waste transfer (household and commercial),HIC,74999,100.13,1961.68,1861.55,102933,D S Smith Recycling U K Ltd,Only one waste type managed (90%)
Edmonton I B A Facility,Other,HIC,150000,78004.33,101469.57,23465.24,103144,Ballast Phoenix Ltd,Only one waste type managed (90%)
London City Metals,Metals and vehicle recycling,Inert,74999,0,11782.2,11782.2,103174,London City Metals Ltd,Multiple waste types managed
Brentford Aggregate Materials Recycling Facility,"Transfer and treatment (construction, demolition and excavation)",Inert,600000,0,222697.74,222697.74,103193,Day Group Limited,Multiple waste types managed
Barking Riverside ( Resource Information And Marketing Suite),Other - inert,Inert,200000,0,5661,5661,103229,Foundation Developments Limited,Multiple waste types managed
Cranfield Golf Centre,Other - inert,Inert,1000000,54332,217298,162966,103294,Carzo Ltd,Only one waste type managed (90%)
Fairlop Quarry,Other - inert,Inert,300000,49217.81,149710.22,100492.41,103309,Brett Tarmac Limited,Only one waste type managed (90%)
W 4 F Transfer Station,Waste transfer (household and commercial),HIC,150000,0,1582.46,1582.46,103312,Waste 4 Fuel Limited,Multiple waste types managed
Rainham Iba Facility,Other,HIC,100000,0,69793.39,69793.39,103320,Ballast Phoenix Ltd,Multiple waste types managed
A & J Plumbing & Heating London Ltd,Metals and vehicle recycling,Inert,24999,188,150.9,-37.1,103439,A & J Plumbing & Heating London Ltd,Only one waste type managed (90%)
Day Aggregates Purley Depot,"Transfer and treatment (construction, demolition and excavation)",Inert,249999,118650,160262.82,41612.82,103455,Day Group Ltd,Only one waste type managed (90%)
Day Aggregates Stewarts Lane Depot,"Transfer and treatment (construction, demolition and excavation)",Inert,35000,0,5923.1,5923.1,103456,Day Group Ltd,Multiple waste types managed
Sams Yard,Other,Haz,74999,200.79,205.38,4.59,103594,Sams Yard Ltd,Only one waste type managed (90%)
Humphries Ltd,Metals and vehicle recycling,HIC,74999,109509.11,59565.4,-49943.71,103643,S Norton & Co Ltd,Multiple waste types managed
Cronimet ( London) Ltd,Metals and vehicle recycling,Inert,74999,9193.07,7276.13,-1916.94,103650,Cronimet ( London ) Limited,Only one waste type managed (90%)
Henry Woods Waste Management Ltd,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,8150,11969,3819,103698,Henry Woods Waste Management Ltd,Only one waste type managed (90%)
Docklands Transfer Site,"Transfer and treatment (construction, demolition and excavation)",Inert,1200000,0,390457.82,390457.82,103700,B A M Nuttall Limited,Multiple waste types managed
Redcorn,Metals and vehicle recycling,Haz,74999,39283,17634.25,-21648.75,103763,Redcorn Ltd,Only one waste type managed (90%)
Westminster Waste Ltd,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,56214.22,45394.24,-10819.98,103772,Westminster Waste Ltd,Only one waste type managed (90%)
George Killoughery Limited ( Mitcham),"Transfer and treatment (construction, demolition and excavation)",Inert,74999,33359.93,37430.36,4070.43,103821,George Killoughery Limited,Only one waste type managed (90%)
B F A Recycling Ltd,Metals and vehicle recycling,Inert,74999,60293,64868,4575,103857,B F A Recycling Ltd,Only one waste type managed (90%)
Anchor Bay Wharf,Other,Inert,74999,0,723,723,103948,Erith Remediation Technologies Limited,Multiple waste types managed
Quick Skips London,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,4790.6,3137.51,-1653.09,104011,Quick Skips London Limited,Only one waste type managed (90%)
Volker Highways Depot,"Transfer and treatment (construction, demolition and excavation)",Inert,24999,0,7472,7472,104047,Volker Highways Limited,Multiple waste types managed
Plot 39 Bedfont Tranding Estate,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,0,23739.62,23739.62,104079,Fowles Crushed Concrete Ltd,Multiple waste types managed
Northumberland Wharf Transfer Station,Waste transfer (household and commercial),HIC,195000,109881.41,104639.73,-5241.68,104101,Cory Environmental Ltd,Only one waste type managed (90%)
S U C Exc Uk Ltd,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,44391,37664.26,-6726.74,104126,S U C Exc U K Ltd,Only one waste type managed (90%)
Anchor Bay Commercial Haulage Waste Treatment Facility,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,32443.48,31544.27,-899.21,104136,"Mr George Dugdale, Mr Mark Dugdale And Mr Steven Dugdale",Only one waste type managed (90%)
P M Highway Ltd,Other,Inert,74999,0,3800,3800,104182,P M Highway Ltd,Multiple waste types managed
"Unit 1, Stockholm Road","Transfer and treatment (construction, demolition and excavation)",Inert,74999,49122.03,52327.34,3205.31,104283,R T S Waste Management Limited,Only one waste type managed (90%)
Guy Lodge Farm,Other,Inert,99999,0,9480,9480,104320,The London Composting Company Ltd,Multiple waste types managed
Willesden Freight Terminal,"Transfer and treatment (construction, demolition and excavation)",Inert,500000,661789.64,421368.34,-240421.3,104421,L Lynch ( Plant Hire & Haulage ) Ltd,Only one waste type managed (90%)
Noon Redevelopment Site,Other,HIC,24999,7505,6038.2,-1466.8,104437,Hydrock Contracting Limited,Only one waste type managed (90%)
Richmond Park Golf Club,Other,Inert,142500,0,24140,24140,104458,Oakland Golf And Leisure Limited,Multiple waste types managed
Crow Metals Ltd,Metals and vehicle recycling,HIC,40000,11235.83,5143.18,-6092.65,104496,Crow Metals Ltd,Multiple waste types managed
London & Metropolitan Recycling Ltd,"Transfer and treatment (construction, demolition and excavation)",Inert,35000,11337.49,15133.32,3795.83,104500,Hunsdon Skip Hire Ltd,Only one waste type managed (90%)
Waste Transfer And Recovery Facility,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,70660.67,67753.75,-2906.92,104521,Reston Waste Management Ltd,Only one waste type managed (90%)
Wallingford Road Recycling Facility,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,5695,8723.75,3028.75,104532,Bally Skips Limited,Only one waste type managed (90%)
Recycled Material Supplies,"Transfer and treatment (construction, demolition and excavation)",Inert,230000,180390,140286.62,-40103.38,104575,Recycled Material Supplies Ltd,Only one waste type managed (90%)
Former Hunter Plastics Site,Materials recycling and sorting,HIC,60000,3975.79,4464.65,488.86,104667,Plasrecycle Limited,Only one waste type managed (90%)
Landau Way Transfer Station,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,35889.58,21000.5,-14889.08,104692,J & H Haulage Ltd,Only one waste type managed (90%)
Dock Road Recycling Facility,"Transfer and treatment (construction, demolition and excavation)",Inert,209000,107085,51412.5,-55672.5,104693,Mc Gee Group Ltd,Only one waste type managed (90%)
"Powerday "" Golden Weekends"" H W R C",Household Reuse and Recycling Centres,HIC,74999,1170.97,944.25,-226.72,104761,Powerday Plc,Multiple waste types managed
Able Waste Services Ltd,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,32688.78,12562.99,-20125.79,104808,Able Waste Services Limited,Only one waste type managed (90%)
Burts Wharf Recycling Depot,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,0,2776.89,2776.89,104859,Highway United Limited,Multiple waste types managed
Genuine Solutions Group Limited,Other,HIC,74999,234.69,732.51,497.82,104886,Genuine Solutions Group Limited,Only one waste type managed (90%)
Pinns Wharf Ltd,Other,Inert,1000000,90265,101805.72,11540.72,104912,Pinns Wharf Ltd,Only one waste type managed (90%)
S R 2010 No 11,Other,Inert,75000,10208,38887,28679,105390,Erith Contractors Limited,Only one waste type managed (90%)
Mobile Plant S R 2010 No11,Other,Inert,999999,160464,82627.5,-77836.5,105516,Balfour Beatty Civil Engineering Limited,Only one waste type managed (90%)
Mobile Plant S R 2008 No27,Other,Haz,999999,184.3,46.08,-138.22,105629,Veolia E S Landfill Ltd,Only one waste type managed (90%)
Marks Warren Quarry Landfill,Disposal (inert),Inert,244000,363631,154369.25,-209261.75,210001,Ingrebourne Valley Ltd,Only one waste type managed (90%)
Bournewood Inert Landfill Site,Disposal,Inert,240000,0,51997.65,51997.65,210058,Bournewood Sand And Gravel Ltd,Multiple waste types managed
Airlinks Golf Club,Other - inert,Inert,248388,72981.5,182493.88,109512.38,400090,Oakland Golf And Leisure Limited,Only one waste type managed (90%)
Central Depot,Waste transfer (household and commercial),HIC,60000,16945.58,19208.92,2263.34,400101,London Borough of Richmond Upon Thames,Only one waste type managed (90%)
Pulse Environmental Limited,Waste transfer (household and commercial),HIC,74999,9164.35,6005.73,-3158.62,400150,Pulse Environmental Limited,Only one waste type managed (90%)
Beckton S T W Combined Heat And Power Plant,Thermal treatment,HIC,999999,311.8,77.95,-233.85,400177,Thames Water Utilities Limited,Only one waste type managed (90%)
Weir Road Waste Transfer Station,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,45415.04,31601.59,-13813.45,400311,Maguire Skips Limited,Only one waste type managed (90%)
Upside Railway Yard,"Transfer and treatment (construction, demolition and excavation)",Inert,249999,234930.04,83554.99,-151375.05,400425,G B Railfreight Limited,Only one waste type managed (90%)
Greenham Triangle,Other,Inert,47700,0,12397.5,12397.5,400621,Lyons Francis,Multiple waste types managed
E L G Haniel Metals Ltd,Metals and vehicle recycling,HIC,74999,16128,15984.25,-143.75,400638,E L G Haniel Metals Limited,Multiple waste types managed
Raven Recycling,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,9601.21,5005.24,-4595.97,400696,Raven Waste Paper Company Ltd,Multiple waste types managed
London City Metals Limited,Metals and vehicle recycling,Haz,74999,0,112.7,112.7,400735,London City Metals Limited,Multiple waste types managed
Bridgemarts Waste Recovery Facility,"Transfer and treatment (construction, demolition and excavation)",Inert,349999,124609.29,89853.16,-34756.13,400803,Bridgemarts Limited,Only one waste type managed (90%)
Victoria Road Waste Transfer Station,Waste transfer (household and commercial),HIC,734984,186477.33,126864.39,-59612.94,400834,Suez Recycling And Recovery U K Ltd,Only one waste type managed (90%)
77 Weir Road,"Transfer and treatment (construction, demolition and excavation)",Inert,75000,43150.8,28879.72,-14271.08,400856,N J B Recycling Limited,Only one waste type managed (90%)
Chessington Equestrian Centre,Other - inert,Inert,99999,14450,20060,5610,400892,B L Penwarden Haulage & Demolition Contractors Limited,Only one waste type managed (90%)
Angerstein Wharf,"Transfer and treatment (construction, demolition and excavation)",Inert,83000,13062.18,7272.83,-5789.35,400933,Aggregate Industries U K Ltd,Only one waste type managed (90%)
Land Adjoining Bramble Lane Fishing Lakes,Other - inert,Inert,50000,8797.9,2382.32,-6415.58,400952,Gibson Ian,Only one waste type managed (90%)
Unit 3 & 4,Metals and vehicle recycling,HIC,30000,0,115.55,115.55,400999,Gowing Alan,Multiple waste types managed
Dagenham Dock Aggregate Recycling Facility,"Transfer and treatment (construction, demolition and excavation)",Inert,249999,428.72,576.26,147.54,401033,Hanson Quarry Products Europe Ltd,Only one waste type managed (90%)
Western Road H W R C,Household Reuse and Recycling Centres,HIC,74999,3799.22,2794.11,-1005.11,401063,Londonenergy Ltd,Only one waste type managed (90%)
Redcorn,Metals and vehicle recycling,Haz,74999,6557,17898.75,11341.75,401137,Redcorn Ltd,Only one waste type managed (90%)
Rainham Recycling Facility,"Transfer and treatment (construction, demolition and excavation)",Inert,75000,0,7767.68,7767.68,401196,Brett Aggregates Limited,Multiple waste types managed
A D M Skips,Waste transfer (household and commercial),Inert,24999,1961.32,1507.99,-453.33,401231,Mcginley Daniel,Multiple waste types managed
Unit 5,"Transfer and treatment (construction, demolition and excavation)",Inert,75000,804,373,-431,401238,U K And European Construction Limited,Only one waste type managed (90%)
Orion Support Services,"Transfer and treatment (construction, demolition and excavation)",Inert,150000,41334.01,25040.28,-16293.73,401256,Orion Support Services Limited,Only one waste type managed (90%)
Former Jewson Site,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,20840.62,8554.4,-12286.22,401394,Westminster Waste Limited,Multiple waste types managed
Roll On Off Services Limited,"Transfer and treatment (construction, demolition and excavation)",Inert,75000,8957.48,5955.39,-3002.09,401396,Roll On Off Services Limited,Only one waste type managed (90%)
"Unit 7, Abbey Industrial Estate",Other,Haz,24999,62.02,29.43,-32.59,401409,Wandle Waste Management Limited,Multiple waste types managed
Thames Materials,"Transfer and treatment (construction, demolition and excavation)",Inert,500000,262394.08,116312.98,-146081.1,401566,Thames Materials Limited,Only one waste type managed (90%)
Penhall Road Recycling Centre,Waste transfer (household and commercial),HIC,24999,10310.86,4303.44,-6007.42,401583,Recycled Material Supplies Limited,Only one waste type managed (90%)
G & S Waste Recycling,"Transfer and treatment (construction, demolition and excavation)",Inert,75000,3429.2,1310.21,-2118.99,401607,G & S Waste Management Limited,Multiple waste types managed
Jighand Limited,Metals and vehicle recycling,Inert,30000,0,7950.98,7950.98,401634,Jighand Limited,Multiple waste types managed
Little Gerpins 2 Landfill,Other - inert,Inert,306000,159320,44678.25,-114641.75,401833,Ingrebourne Valley Limited,Only one waste type managed (90%)
Corbyn Recycling,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,0,4960.11,4960.11,401840,Corbyn Construction Ltd,Multiple waste types managed
Scrubs Lane Metal Recycling Site,Materials recycling and sorting,Inert,25000,24972.92,6243.23,-18729.69,401860,Capital Metal Recycling Ltd,Only one waste type managed (90%)
Recycled Materials Supplies,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,74760,30230,-44530,402013,Recycled Materials Supplies Ltd,Only one waste type managed (90%)
Stockley Pines Golf Course (10th Hole),Other - inert,Inert,23810,30484,7621,-22863,402093,Premier Material Supplies Limited,Only one waste type managed (90%)
H C L House,"Transfer and treatment (construction, demolition and excavation)",HIC,100000,9566,2512.75,-7053.25,402173,Hydro Cleansing Limited,Multiple waste types managed
L M D Waste Management Limited,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,14503,4548.75,-9954.25,402208,L M D Waste Management Limited,Only one waste type managed (90%)
19 Thames Road,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,8410,3852.5,-4557.5,402252,Max Recycling Ltd,Only one waste type managed (90%)
75 - 77 Chequers Lane,"Transfer and treatment (construction, demolition and excavation)",Inert,118314,32718.65,14291.74,-18426.91,402257,Connect Waste Management Ltd,Only one waste type managed (90%)
56-58 Factory Lane,"Transfer and treatment (construction, demolition and excavation)",Inert,75000,14255.21,5621.29,-8633.92,402297,Blu-3 ( U K) Limited,Only one waste type managed (90%)
Hanson Aggregates,Fuel preparation and MBT,Inert,75000,20083.02,5020.76,-15062.26,402370,Hanson Quarry Products Europe Ltd,Multiple waste types managed
Unit 4 Second Way,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,54602,19138,-35464,402465,H A W K Rubbish Clearance Limited,Only one waste type managed (90%)
Mitcham Site,Waste transfer (household and commercial),HIC,75000,740.86,185.22,-555.64,402626,O C S Group U K Limited,Multiple waste types managed
M & R Building & Landscaping Ltd,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,5850.27,1537.42,-4312.85,402861,M & R Building & Landscaping Ltd,Multiple waste types managed
Cannon Hygeine Barking Waste Facility,Waste transfer (household and commercial),HIC,74999,263.8,65.95,-197.85,402973,O C S Group U K Limited,Multiple waste types managed
Northern Line Extension Project,"Transfer and treatment (construction, demolition and excavation)",Inert,249999,67343,16835.75,-50507.25,403036,Laing O Rourke Infrastructure Limited,Only one waste type managed (90%)
Thunderer Road,Fuel preparation and MBT,Inert,175000,60231,15057.75,-45173.25,403070,Neptune Contract Services Limited,Multiple waste types managed
"Unit U, Pegasus Works",Materials recycling and sorting,HIC,24999,1885.49,471.37,-1414.12,403109,N R M Metal Recycling Limited,Multiple waste types managed
Frog Island,Fuel preparation and MBT,Inert,209000,56591.5,14147.88,-42443.62,403185,S Walsh And Son Limited,Only one waste type managed (90%)
Mcgovern House,Fuel preparation and MBT,HIC,75000,4,1,-3,403204,The Wet Waste Company Limited,Only one waste type managed (90%)
Plasterzone,Materials recycling and sorting,Inert,30000,598.11,149.53,-448.58,403490,Plasterzone Limited,Only one waste type managed (90%)
Maybank Wharf,Waste transfer (household and commercial),Inert,75000,2601.96,650.49,-1951.47,403581,Westminster Waste Limited,Only one waste type managed (90%)
Mohawk Wharf Recycling Facility EPR/FP3092LH,"Transfer and treatment (construction, demolition and excavation)",Inert,150000,99973,52916.75,-47056.25,AP3539NB,Keltbray AWS Limited,Only one waste type managed (90%)
RIVERSIDE RESOURCE RECOVERY,Thermal treatment,HIC,785000,738555.88,717689.36,-20866.52,BK0825IU,Riverside Resource Recovery Limited,Only one waste type managed (90%)
ACTON REFINERY,Metals and vehicle recycling,HIC,999999,1.47,0.9,-0.57,BM1741IS,Vale Europe Limited,Only one waste type managed (90%)
Ferry Lane South Waste Transfer Facility,Other,Haz,29100,10430.22,15534.7,5104.48,BP3934MQ,Adler & Allan Limited,Multiple waste types managed
Greenwich Integrated Waste Management Facility,Fuel preparation and MBT,HIC,411000,45153.26,11288.32,-33864.94,CP3136RW,Veolia ES Cleanaway (UK) Limited,Only one waste type managed (90%)
Tripcock Point ,Disposal,Haz,250000,0,107.96,107.96,EP3135PE,Tilfen Land Limited,Multiple waste types managed
Rainham Landfill EPR/EP3136GK,Disposal (inert),Inert,1700000,1216138.77,857940.64,-358198.13,EP3136GK,Veolia ES Landfill Limited,Multiple waste types managed
Units 4-10 Atcost Road EPR/EP3494VG,Storage,Haz,16500,4702.62,1175.66,-3526.96,EP3531AP,Wastecare Limited,Multiple waste types managed
Brentford Aggregate Materials Recycling Facility EPR/BB3232RX,"Transfer and treatment (construction, demolition and excavation)",Inert,600000,395220,114857.5,-280362.5,HP3132WR,Day Group Limited,Multiple waste types managed
Thames Wharf EPR/MB3437RG,Other - inert,Inert,75000,3528,882,-2646,HP3533DH,Keltbray Environmental Ltd,Only one waste type managed (90%)
Murphy's Wharf EPR/DP3490EU,Fuel preparation and MBT,Inert,649999,261983,65495.75,-196487.25,HP3732WG,Day Group Limited,Multiple waste types managed
Arlington Oil Facility EPR/JP3332ME,Materials recycling and sorting,Haz,2000000,9687.79,9512.58,-175.21,JP3332ME,Sharpe's Recycle Oil Limited,Only one waste type managed (90%)
Alperton Lane Waste TS EPR/LP3037WG,Fuel preparation and MBT,Inert,150000,85333.3,21333.32,-63999.98,LP3037WG,O'Donovan (Waste Disposal) Limited,Only one waste type managed (90%)
Rainham Clinical Treatment Centre,Other,Haz,74999,12849.2,4755.86,-8093.34,LP3432TS,G W Butler Limited,Multiple waste types managed
Ruislip Depot Hazardous Waste Containment Bay,Other - inert,Inert,224750,56276.56,57184.88,908.32,MP3834LG,Balfour Beatty Rail Projects Limited,Only one waste type managed (90%)
Unit 2 Hannah Close EPR/PP3496EU,Fuel preparation and MBT,HIC,400000,177214.56,93667.64,-83546.92,MP3930WC,Seneca Environmental Solutions Ltd ,Only one waste type managed (90%)
High View Farm,Fuel preparation and MBT,HIC,75000,39567.17,9891.79,-29675.38,NP3034WL,West London Composting Limited,Only one waste type managed (90%)
SELCHP Energy Recovery Facility ,Thermal treatment,HIC,488000,444391.78,444453.34,61.56,NP3738SY,South East London Combined Heat and Power Limited,Only one waste type managed (90%)
Southwark Integrated Waste Management Facility,Fuel preparation and MBT,HIC,327000,234320.12,212739.3,-21580.82,PP3737GT,Veolia ES Southwark Ltd,Only one waste type managed (90%)
"Compost Plant, Ecopark, EPR/QP3997NL",Fuel preparation and MBT,HIC,45000,17370.7,4342.68,-13028.02,SP3332WH,LondonEnergy Ltd,Only one waste type managed (90%)
Edmonton Clinical Waste Treatment Centre,Other,Haz,999999,0,3495.46,3495.46,UP3233FR,London Waste Ltd,Multiple waste types managed
Beddington Farmlands Landfill Site,Disposal,HIC,990000,297674.49,300466.68,2792.19,VP3039SW,Viridor Waste Management Limited,Multiple waste types managed
Brimsdown Precious Metal Recovery,Metals and vehicle recycling,HIC,30000,4925.85,6075.12,1149.27,VP3430BN,Johnson Matthey Plc,Only one waste type managed (90%)
Heathrow Depot,"Transfer and treatment (construction, demolition and excavation)",Inert,300000,211732.84,88496.39,-123236.45,VP3630WE,FM Conway Ltd ,Only one waste type managed (90%)
Proper Oils ,Materials recycling and sorting,HIC,999999,0,63.58,63.58,VP3932CU,Proper Energy Limited,Multiple waste types managed
Brent Transfer Station,Fuel preparation and MBT,HIC,364000,117131.39,29282.85,-87848.54,WP3235RZ,Veolia ES (UK) Limited,Only one waste type managed (90%)
Williams Environmental Management Ltd,Other,Haz,25000,5399.65,4804.92,-594.73,WP3336SA,Williams Environmental Management Ltd,Only one waste type managed (90%)
Jenkins Lane WM Facility EPR/WP3433BY,Fuel preparation and MBT,HIC,337000,220337.91,210147.06,-10190.85,WP3433BY,Shanks Waste Management Limited,Only one waste type managed (90%)
Riverside AD Facility EPR/AB3307LK,Organic treatment,HIC,999999,44585.06,12986.26,-31598.8,WP3834RQ,Riverside AD Limited,Only one waste type managed (90%)
"Assiciated Reclaimed Oils Bulking, Treatment and Transfer Facility EPR/WP3930UD",Materials recycling and sorting,Haz,185640,9179.01,8112.2,-1066.81,WP3930UD,Associated Reclaimed Oils Ltd,Only one waste type managed (90%)
Edmonton Bio Diesel Plant EPR/XP3231LP,Materials recycling and sorting,HIC,50000,1161.55,1011.14,-150.41,XP3231LP,Pure Fuels Limited,Only one waste type managed (90%)
Edmonton EfW Facility EPR/YP3033BE,Thermal treatment,HIC,750000,597133.55,558763.88,-38369.67,YP3033BE,LondonEnergy Ltd,Only one waste type managed (90%)
Powerday Waste & Recycling Centre,"Transfer and treatment (construction, demolition and excavation)",Inert,1735000,331347,300096.66,-31250.34,YP3338FF,Powerday plc,Multiple waste types managed
Mitcham Waste Treatment Centre EPR/JB3737WE,Fuel preparation and MBT,HIC,100000,23247.72,5811.93,-17435.79,YP3939AD,Riverside Bio Limited ,Only one waste type managed (90%)
Albert Works EPR/EP3091NT,Fuel preparation and MBT,HIC,349999,205610.66,51402.66,-154208,ZP3137AB,Metal and Waste Recycling Limited,Multiple waste types managed
Edmonton IBA Facility,Fuel preparation and MBT,HIC,150000,23184.78,5796.2,-17388.58,ZP3332WW,Ballast Phoenix Limited,Only one waste type managed (90%)
Frog Island Waste Management Facility EPR/ZP3533BS,Fuel preparation and MBT,HIC,387000,237623.25,231645.5,-5977.75,ZP3533BS,Shanks Waste Management Limited,Only one waste type managed (90%)
Beckton Sludge Powered Generator,Thermal treatment,HIC,90500,25294,13867.5,-11426.5,ZP3833BK,Thames Water Utilities Ltd,Only one waste type managed (90%)
